virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 59.2 0.7618 0.2832
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 66.7 0.6836 0.3044
LUJV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 61.8 0.7274 0.3057
LUJV rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 61.5 0.7074 0.3285
LUJV rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 65.4 0.6194 0.2242
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 50.8 0.7219 0.2452
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 59.7 0.7039 0.3033
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 59.4 0.7256 0.2728
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 62.4 0.7021 0.2557
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 61.3 0.7034 0.3034
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 61.5 0.7093 0.2161
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 53.4 0.7193 0.2824
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 60.6 0.7288 0.2477
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59.6 0.7352 0.1972
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 61.4 0.7216 0.2514
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 61.8 0.7249 0.3052
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 61.8 0.7278 0.3246
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 55.7 0.7132 0.2646
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 61.5 0.7379 0.2449
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 64 0.6733 0.2630
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 66.2 0.7067 0.2522
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 66.7 0.7077 0.2303
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 66.7 0.6842 0.3020
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 56 0.6606 0.2378
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.8 0.6883 0.3281
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 63.2 0.5545 0.2354
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 64.3 0.5999 0.2338
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 64.2 0.6238 0.2698
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 65.4 0.6192 0.3156
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52.2 0.6873 0.4173
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 54.8 0.7268 0.3145
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 59.1 0.6404 0.2766
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 59 0.6456 0.2796
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 59.6 0.7404 0.3149
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 59.2 0.7634 0.2553
