virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 57 0.4051 0.9616
JUNV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 54.9 0.4477 0.9590
JUNV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 52.9 0.3984 0.9477
JUNV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 56.5 0.3627 0.9588
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 55 0.4157 0.9608
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 53.9 0.3072 0.9363
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 56.2 0.3594 0.9512
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 56.6 0.4320 0.9565
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 56.7 0.4346 0.9593
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 56.6 0.4207 0.9617
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 57 0.4106 0.9621
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 52.2 0.2639 0.9211
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 54.8 0.3955 0.9551
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 54.5 0.4196 0.9604
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 54.7 0.4500 0.9601
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 55.1 0.4572 0.9565
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 54.9 0.4471 0.9600
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 50.3 0.4571 0.3480
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 50.8 0.4270 0.3791
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 57.4 0.3565 0.9546
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.2 0.3913 0.9562
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 55.5 0.4172 0.9606
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 55 0.4148 0.9611
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.7 0.2767 0.9649
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 54.7 0.4193 0.9534
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.3 0.3541 0.9611
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56.5 0.3538 0.9602
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 57 0.3628 0.9595
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 56.5 0.3609 0.9590
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 51.8 0.4117 0.9435
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.8 0.3811 0.9428
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 53.3 0.4000 0.9462
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 53 0.3962 0.9452
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 52.1 0.4087 0.9473
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 52.9 0.4012 0.9477
