#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:C:B	0.0879	0.3059	5.69	0.010	0.046	0.099	1455	325	152
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0682	0.2384	6.14	0.003	0.015	0.042	1455	325	120
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0796	0.2709	6.15	0.005	0.025	0.057	1455	325	141
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0954	0.3161	6.43	0.010	0.046	0.087	1455	325	172
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0726	0.2564	5.98	0.008	0.034	0.087	1455	325	127
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.0737	0.2556	5.57	0.004	0.018	0.047	1455	325	127
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.1006	0.3506	5.89	0.010	0.043	0.080	1455	325	175
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.0692	0.2400	6.24	0.006	0.028	0.074	1455	325	122
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.0699	0.2378	6.19	0.004	0.018	0.048	1455	325	124
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:B:A	0.0924	0.3160	5.76	0.011	0.049	0.099	1455	325	161
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:B:A	0.0908	0.3126	5.75	0.004	0.018	0.038	1455	325	158
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.0737	0.2556	5.57	0.004	0.018	0.047	1455	325	127
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0690	0.2382	6.01	0.003	0.015	0.041	1455	325	121
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:	reference_structures/5omi_clean.pdb:C:A::B	0.0733	0.2506	6.05	0.007	0.031	0.078	1455	325	129
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:C:B	0.1077	0.3746	6.06	0.008	0.037	0.063	1455	325	189
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.0776	0.2447	6.98	0.005	0.022	0.048	1455	325	145
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0732	0.2501	5.84	0.004	0.018	0.047	1455	325	128
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0699	0.2462	5.78	0.008	0.034	0.091	1455	325	121
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0690	0.2382	6.01	0.003	0.015	0.041	1455	325	121
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0729	0.2365	6.74	0.003	0.012	0.030	1455	325	134
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0713	0.2435	6.16	0.009	0.040	0.103	1455	325	126
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0692	0.2438	5.85	0.007	0.031	0.083	1455	325	120
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0716	0.2247	7.15	0.005	0.022	0.052	1455	325	135
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0660	0.2354	5.61	0.003	0.012	0.035	1455	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0682	0.2260	6.42	0.002	0.009	0.024	1455	325	123
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0729	0.2365	6.74	0.003	0.012	0.030	1455	325	134
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0836	0.2863	6.01	0.006	0.028	0.061	1455	325	147
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0785	0.2438	7.08	0.005	0.025	0.054	1455	325	148
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.1024	0.3316	6.94	0.008	0.034	0.058	1455	325	190
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0876	0.2922	6.49	0.008	0.034	0.070	1455	325	158
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0842	0.2774	6.59	0.005	0.022	0.046	1455	325	153
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:C:B	0.0786	0.2624	6.55	0.004	0.018	0.042	1455	325	142
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0836	0.2863	6.01	0.006	0.028	0.061	1455	325	147
