#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7692	0.9189	2.99	0.379	0.456	0.464	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7626	0.9099	3.03	0.375	0.452	0.462	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7507	0.8939	3.41	0.389	0.468	0.478	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7183	0.8518	4.28	0.364	0.438	0.451	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7405	0.8803	3.68	0.385	0.464	0.475	1170	972	950
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7694	0.9191	2.98	0.379	0.456	0.464	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
