virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 65 0.1888 0.3155
MACV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 66.8 0.4027 0.2473
MACV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 48.5 0.1968 0.2343
MACV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 58.9 0.1895 0.2596
MACV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 52.3 0.3755 0.2621
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 42.6 0.2254 0.2796
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 48.9 0.2269 0.2970
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 59 0.1882 0.3128
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 60.3 0.1884 0.3108
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 62.8 0.2132 0.3206
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 65 0.1892 0.3086
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 46.2 0.2909 0.2341
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 45.4 0.3336 0.2729
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 49.8 0.3870 0.2612
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 49 0.3600 0.2840
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 51.6 0.3813 0.2770
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 52.3 0.3749 0.2725
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 52.1 0.3746 0.2396
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 53.5 0.3942 0.2606
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 55.8 0.4067 0.2682
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.8 0.4102 0.2512
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 59.7 0.4094 0.2626
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 66.8 0.4026 0.2348
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 51.7 0.3578 0.2216
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 50.8 0.3476 0.2938
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 54.7 0.1912 0.2400
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56.1 0.2175 0.2376
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 58 0.2269 0.2797
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 58.9 0.1896 0.3020
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 48.6 0.3945 0.2471
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 43.9 0.1961 0.2514
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 43 0.2227 0.3116
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 42.5 0.2442 0.2476
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.7 0.2430 0.3129
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 48.5 0.1962 0.3180
