virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 50.5 0.1931 0.2800
CHAV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 41.2 0.3923 0.2520
CHAV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 38.9 0.3891 0.2836
CHAV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 41.3 0.1935 0.2766
CHAV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 45.8 0.2470 0.1944
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 44.3 0.3633 0.2491
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 40.9 0.2495 0.2419
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 40.8 0.3115 0.2046
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 40.8 0.3629 0.2070
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 40.1 0.3865 0.2440
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.2 0.3932 0.2506
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 43 0.2772 0.2397
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 40.6 0.3641 0.1974
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 47.2 0.3526 0.2434
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 47.5 0.2582 0.2709
CHAV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.6 0.2505 0.2712
CHAV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.5 0.1929 0.2783
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 43.1 0.2310 0.2462
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 43.3 0.2236 0.2402
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 46.6 0.2532 0.2326
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 46.5 0.2465 0.2176
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 45.6 0.2514 0.2121
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 45.8 0.2507 0.1886
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 41.6 0.2025 0.2193
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 40.8 0.2465 0.2434
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 39.9 0.2355 0.3288
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 43.1 0.2096 0.3507
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 42.3 0.2164 0.2717
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 41.3 0.1934 0.2926
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 37.8 0.3062 0.2302
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 40.4 0.3347 0.2322
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.6 0.3722 0.2472
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 37.7 0.3782 0.2854
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 39.1 0.3861 0.2478
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 38.9 0.3889 0.2335
