virus pdb plddt pre_TM post_TM
HA rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 91.9 0.3467 0.3139
HA rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 86.1 0.3424 0.4709
HA rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 83.4 0.3359 0.4689
HA rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 83.6 0.3431 0.3157
HA rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 84.9 0.3455 0.4735
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 90.6 0.3458 0.3169
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 91.9 0.3467 0.3147
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 84.9 0.3451 0.4736
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 84.2 0.3454 0.4729
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 85.7 0.3440 0.4708
HA alphafold2_multimer_v3_model_2_seed_000.r3.pdb 86.1 0.3423 0.4715
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 84.6 0.3449 0.4718
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 84.9 0.3455 0.4735
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 83 0.3437 0.3160
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 82.9 0.3441 0.3157
HA alphafold2_multimer_v3_model_4_seed_000.r2.pdb 83.6 0.3430 0.4723
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 83.2 0.3442 0.4741
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 82.4 0.3403 0.3161
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 83.1 0.3366 0.3117
HA alphafold2_multimer_v3_model_5_seed_000.r3.pdb 83.4 0.3359 0.3120
