virus pdb plddt pre_TM post_TM
LASV2 rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 78.6 0.9657 0.2137
LASV2 rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 77.7 0.9642 0.2685
LASV2 rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 77.4 0.9675 0.2617
LASV2 rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 76.1 0.9635 0.2101
LASV2 rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 77.5 0.9648 0.2181
LASV2 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 52.5 0.3368 0.2302
LASV2 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 64.9 0.4197 0.2111
LASV2 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 64.1 0.3903 0.2252
LASV2 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 76.8 0.9655 0.2690
LASV2 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 78.5 0.9658 0.2689
LASV2 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 78.6 0.9660 0.2096
LASV2 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 63.6 0.5388 0.2352
LASV2 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 64.3 0.4690 0.2267
LASV2 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 68.1 0.9600 0.2682
LASV2 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 75.8 0.9657 0.2411
LASV2 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 76.6 0.9674 0.2705
LASV2 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 77.4 0.9677 0.2485
LASV2 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 55.6 0.3148 0.2284
LASV2 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 63.7 0.4802 0.2378
LASV2 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 76.1 0.9560 0.2209
LASV2 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 76.3 0.9633 0.2182
LASV2 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 77.5 0.9647 0.2294
LASV2 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 63.9 0.4493 0.2691
LASV2 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 73.4 0.9552 0.2707
LASV2 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 77.1 0.9625 0.2427
LASV2 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 77.7 0.9643 0.2792
LASV2 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 61 0.4733 0.2737
LASV2 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 72.4 0.9602 0.2205
LASV2 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 74.4 0.9625 0.2117
LASV2 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 75.3 0.9632 0.2719
LASV2 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 76.1 0.9639 0.2716
LASV2 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 76.1 0.9639 0.2112
