virus pdb plddt pre_TM post_TM
LASV1 rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 78.3 0.9000 0.2367
LASV1 rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 78.6 0.8836 0.2940
LASV1 rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 76.1 0.8794 0.2923
LASV1 rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 76.5 0.8782 0.2780
LASV1 rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 73.6 0.8580 0.2746
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 49 0.7250 0.2350
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 71 0.8725 0.2925
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 74 0.9009 0.2755
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 77.1 0.9009 0.2605
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 78.3 0.9008 0.2478
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 78.3 0.9000 0.2359
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 65.8 0.8157 0.1983
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 75.8 0.8848 0.2705
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 77.1 0.8959 0.2391
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 77.9 0.8876 0.2413
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 78.8 0.8852 0.2594
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 78.6 0.8838 0.2825
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 62.6 0.7923 0.2303
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 74.1 0.8760 0.2889
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 74.6 0.8817 0.2708
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 74.6 0.8813 0.2641
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 75 0.8835 0.2889
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 76.1 0.8794 0.2662
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 67.8 0.8418 0.2168
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 73.6 0.8836 0.2651
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 74.9 0.8778 0.2657
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 75.2 0.8760 0.2552
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 76.1 0.8867 0.2748
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 76.5 0.8781 0.2552
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 59.9 0.7022 0.2194
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 70.4 0.8510 0.2712
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 71.8 0.8495 0.2510
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 72.1 0.8523 0.2710
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 73.8 0.8567 0.2743
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 73.6 0.8585 0.2259
