virus pdb plddt pre_TM post_TM
RSV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 92.9 0.9948 0.5439
RSV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 92.5 0.9950 0.5420
RSV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 93 0.9950 0.5457
RSV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 90.3 0.9944 0.5444
RSV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 79 0.4239 0.2607
RSV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 54.5 0.4444 0.2983
RSV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 69.6 0.9652 0.5362
RSV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 89.6 0.9942 0.5419
RSV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 92.9 0.9948 0.5432
RSV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 59.4 0.3811 0.2611
RSV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 66 0.4630 0.2953
RSV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 84.3 0.9931 0.5461
RSV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 90.3 0.9944 0.5443
RSV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 69.1 0.3970 0.2687
RSV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 72.4 0.4250 0.2538
RSV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 78.5 0.4271 0.2622
RSV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 81.2 0.4256 0.2604
RSV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 79.7 0.4254 0.2616
RSV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 79 0.4257 0.2613
RSV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 58.8 0.4051 0.2880
RSV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 85.9 0.9486 0.5317
RSV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 88.6 0.9912 0.5366
RSV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 91.3 0.9951 0.5438
RSV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 93 0.9950 0.5450
RSV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 67.9 0.9175 0.5196
RSV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 90.6 0.9933 0.5404
RSV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 92.5 0.9950 0.5422
