virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 42.7 0.1900 0.2708
JUNV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 51.6 0.4402 0.2709
JUNV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 45.7 0.4267 0.2448
JUNV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 52.4 0.3110 0.1930
JUNV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 41.2 0.2324 0.2310
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 37.2 0.3039 0.2580
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 37.6 0.2196 0.2416
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 39.2 0.2424 0.2508
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 39.7 0.2208 0.2477
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 41.9 0.2305 0.2399
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.2 0.2350 0.2316
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.2 0.2299 0.2216
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 47 0.2913 0.2001
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.9 0.2987 0.2065
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 52.2 0.3020 0.2093
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.9 0.3104 0.2031
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 52.4 0.3108 0.2082
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 46.3 0.2046 0.2777
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 46 0.4123 0.2399
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 47.5 0.4161 0.2166
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47.5 0.3996 0.2579
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 46.3 0.4056 0.2646
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 45.7 0.4273 0.2984
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 43.2 0.2063 0.2675
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 41.6 0.3483 0.3115
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 47.2 0.3472 0.3057
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 51.4 0.1912 0.2744
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 52.7 0.3784 0.2668
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.6 0.4399 0.2411
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 38.8 0.1993 0.2575
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 41.8 0.1953 0.3147
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.2 0.1877 0.2388
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 41.4 0.1933 0.2779
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 40.2 0.2285 0.2943
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.7 0.1903 0.2886
