virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 91.8 0.2870 0.3142
EBOV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 88.7 0.2873 0.2968
EBOV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 79.1 0.2872 0.2372
EBOV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 75.2 0.2866 0.2382
EBOV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 64.1 0.2853 0.2389
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 78.3 0.2841 0.2421
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 83.6 0.2872 0.3005
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 88.7 0.2873 0.2348
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 46 0.2357 0.2559
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 56.4 0.2810 0.2979
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59 0.2848 0.3175
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 64.1 0.2853 0.2367
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 69.5 0.2858 0.2958
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 75.2 0.2867 0.2351
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 81.8 0.2842 0.2365
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 86.6 0.2870 0.2403
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 91.8 0.2871 0.2967
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 68.6 0.2872 0.2434
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 70.4 0.2869 0.2336
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 79.1 0.2872 0.3140
