#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0741	0.2607	5.06	0.010	0.040	0.113	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0733	0.2593	4.96	0.008	0.034	0.097	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0705	0.2425	5.80	0.005	0.022	0.062	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0742	0.2611	5.04	0.008	0.034	0.096	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0743	0.2584	5.17	0.007	0.028	0.078	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0735	0.2602	4.81	0.004	0.015	0.044	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0700	0.2391	5.64	0.007	0.028	0.080	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0678	0.2317	5.55	0.003	0.012	0.037	1356	325	108
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0741	0.2625	4.85	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0738	0.2589	4.93	0.007	0.028	0.079	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0735	0.2597	4.80	0.004	0.015	0.044	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0735	0.2602	4.81	0.004	0.015	0.044	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0681	0.2348	5.73	0.005	0.022	0.064	1356	325	109
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0760	0.2667	5.02	0.007	0.028	0.076	1356	325	118
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0742	0.2626	5.09	0.008	0.034	0.096	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
