virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 87.5 0.2871 0.3148
EBOV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 86.6 0.2872 0.3141
EBOV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 82.4 0.2871 0.2340
EBOV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 72.6 0.2870 0.2945
EBOV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 58.3 0.2839 0.2437
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 76.6 0.2813 0.2199
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 82.6 0.2867 0.2989
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 87.5 0.2873 0.2251
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.4 0.1848 0.2190
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 50.3 0.2752 0.2501
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 53.4 0.2808 0.3197
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 56.7 0.2828 0.2460
EBOV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 58.3 0.2838 0.2980
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 70.9 0.2870 0.3152
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 73.6 0.2865 0.2356
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 82.4 0.2872 0.2367
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 82.1 0.2847 0.2299
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 79.8 0.2870 0.2977
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 86.6 0.2873 0.2963
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 73.6 0.2865 0.2318
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 66.6 0.2863 0.2961
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 72.6 0.2871 0.2955
LASV1 rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 82.2 0.4168 0.2339
LASV1 rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 79.1 0.4226 0.2460
LASV1 rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 74.8 0.4064 0.3152
LASV1 rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 64.7 0.1694 0.2192
LASV1 rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 59.1 0.2221 0.2028
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 50.9 0.1799 0.2358
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 52.2 0.2339 0.2449
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 58.5 0.2011 0.2612
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 59.8 0.3497 0.2423
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 72.1 0.4129 0.2561
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 79.1 0.4227 0.2484
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 52.3 0.2411 0.2286
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 57.9 0.1778 0.1901
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 60.8 0.1751 0.1881
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 61.9 0.1706 0.2191
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 63.8 0.1696 0.2217
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 64.7 0.1696 0.2199
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 73.7 0.3797 0.2425
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 80.6 0.4192 0.2265
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 81.4 0.4170 0.2343
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 82.2 0.4169 0.2372
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 61.5 0.1738 0.2650
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.7 0.2065 0.2421
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 63.3 0.2172 0.2341
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 62.3 0.1809 0.2724
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 60.4 0.2138 0.2078
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 59.1 0.2509 0.2178
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52.7 0.1874 0.2291
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.6 0.1880 0.2076
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 50.6 0.2120 0.2517
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.8 0.2228 0.2202
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 67.1 0.3869 0.3127
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 74.8 0.4065 0.2546
LASV2 rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 82 0.4354 0.2119
LASV2 rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 69 0.1833 0.2137
