virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 65.6 0.7892 0.2460
MACV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 65.4 0.3805 0.3127
MACV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 57.1 0.8398 0.2465
MACV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 61.8 0.8768 0.2440
MACV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 56.3 0.8587 0.2621
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 59.8 0.8662 0.3052
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 59.8 0.4141 0.2737
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 59.2 0.4576 0.2705
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 58.5 0.6047 0.2322
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 55.3 0.7908 0.2783
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 56.3 0.8587 0.2633
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 56.3 0.8588 0.3318
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 59.7 0.8869 0.3601
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 60.5 0.8451 0.3952
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 63.3 0.4728 0.2971
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 65.2 0.3775 0.2352
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 65.4 0.3821 0.2819
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 59.1 0.8645 0.2064
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 58.2 0.8207 0.2553
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 60.6 0.8784 0.2356
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 63.7 0.8350 0.2490
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 62.6 0.8018 0.2232
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 65.6 0.7893 0.2457
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 57.1 0.8029 0.2387
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.1 0.8670 0.2430
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 61.7 0.8683 0.2501
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 60.8 0.8742 0.2559
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 62.5 0.8786 0.3199
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 61.8 0.8769 0.2448
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 58.2 0.8632 0.2499
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 57.1 0.8617 0.2553
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 57.2 0.9739 0.3352
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 58.1 0.9596 0.3337
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 58.5 0.8562 0.2548
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 57.1 0.8405 0.2510
