virus pdb plddt pre_TM post_TM
LASV1 rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 77.5 0.8519 0.2733
LASV1 rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 76.4 0.8677 0.2833
LASV1 rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 73.8 0.8746 0.2850
LASV1 rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 75.5 0.8598 0.2663
LASV1 rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 71.5 0.8390 0.2779
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 50.3 0.2886 0.2635
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 57.5 0.6695 0.2407
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 72 0.8737 0.2768
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 72.7 0.8815 0.2622
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 73.2 0.8749 0.2942
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 73.8 0.8746 0.2866
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 56.8 0.6356 0.1957
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 61.8 0.8092 0.2197
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 73.1 0.8729 0.2786
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 73.9 0.8704 0.2777
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 74.7 0.8672 0.2832
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 76.4 0.8655 0.2626
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 66.7 0.8358 0.2616
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 72.9 0.8650 0.2475
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 73 0.8631 0.2776
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 74.7 0.8588 0.2613
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 75.2 0.8575 0.2895
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 75.5 0.8599 0.2778
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 61.9 0.5605 0.2266
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 72.1 0.8418 0.2717
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 74.4 0.8511 0.2904
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 78.4 0.8602 0.2712
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 77.8 0.8514 0.2839
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 77.5 0.8520 0.2862
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 56.8 0.7077 0.2341
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 68.8 0.8417 0.2358
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 69.6 0.8435 0.2469
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 70.4 0.8329 0.2825
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 71.9 0.8418 0.2278
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 71.5 0.8412 0.2642
