#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5792	0.7618	3.28	0.576	0.769	0.929	1362	1020	844
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5283	0.6836	5.15	0.557	0.744	0.906	1362	1020	838
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5527	0.7274	3.81	0.558	0.745	0.937	1362	1020	811
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5419	0.7074	4.56	0.568	0.759	0.937	1362	1020	826
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4823	0.6194	6.13	0.446	0.596	0.758	1362	1020	802
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5804	0.7634	3.31	0.584	0.780	0.941	1362	1020	846
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5262	0.6873	4.66	0.505	0.675	0.857	1362	1020	803
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
