#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:E:F:D::A	0.1056	0.3600	5.28	0.013	0.050	0.104	1509	379	182
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:D:E:F::A	0.1057	0.3605	5.40	0.012	0.047	0.098	1509	379	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:D:E:F:C:	reference_structures/1htm_clean.pdb:C:B:D:E:F::A	0.1052	0.3599	5.22	0.013	0.053	0.110	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1037	0.3522	5.43	0.011	0.045	0.094	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:C:D:E:F:A:B::	reference_structures/1htm_clean.pdb:B:F:D:E:::A:C	0.1030	0.3517	5.21	0.011	0.045	0.096	1509	379	177
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:D:E:F:C:	reference_structures/1htm_clean.pdb:F:E:B:C:D::A	0.1053	0.3513	5.77	0.006	0.024	0.048	1509	379	186
