virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 56.5 0.3850 0.9616
MACV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 56.2 0.3743 0.9577
MACV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 55.8 0.4054 0.9621
MACV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 50.9 0.3420 0.9291
MACV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 53.5 0.3047 0.9085
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 53.5 0.2943 0.9373
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 54.7 0.3395 0.9609
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 55.3 0.3744 0.9607
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 56.5 0.4275 0.9642
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 56.6 0.4538 0.9645
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 56.5 0.3859 0.9631
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 49.6 0.2866 0.8383
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 53.8 0.3381 0.9523
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 55.8 0.3585 0.9501
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 56.5 0.3699 0.9545
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 56.1 0.3707 0.9604
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.9 0.3439 0.9375
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 49.3 0.4649 0.3860
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 54.2 0.3854 0.9545
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 55.3 0.4161 0.9550
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.2 0.4211 0.9602
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 55.2 0.4077 0.9627
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 55.8 0.4021 0.9625
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.2 0.2963 0.9656
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 56.9 0.3760 0.9608
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 55.5 0.3729 0.9562
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56.3 0.3676 0.9607
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 55.6 0.3806 0.9620
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 56.2 0.3768 0.9588
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 50.5 0.3801 0.9407
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.2 0.4627 0.9383
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 50.8 0.4353 0.9311
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.6 0.3614 0.9232
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 51.9 0.3502 0.9176
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 53.5 0.3015 0.9079
