#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2464	0.1848	7.69	0.021	0.015	0.055	699	1020	272
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2591	0.1946	8.39	0.024	0.017	0.057	699	1020	297
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2370	0.1777	8.05	0.027	0.019	0.071	699	1020	266
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2231	0.1683	8.35	0.019	0.013	0.050	699	1020	259
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2236	0.1687	8.53	0.027	0.019	0.073	699	1020	262
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2469	0.1852	7.62	0.026	0.018	0.066	699	1020	272
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2400	0.1806	8.28	0.030	0.021	0.076	699	1020	275
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2311	0.1738	8.22	0.031	0.022	0.083	699	1020	264
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2159	0.1611	8.00	0.031	0.022	0.092	699	1020	238
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2384	0.1803	8.63	0.027	0.019	0.067	699	1020	283
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2431	0.1829	8.42	0.024	0.017	0.060	699	1020	281
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2469	0.1852	7.62	0.026	0.018	0.066	699	1020	272
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2577	0.1938	8.42	0.030	0.021	0.071	699	1020	297
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2296	0.1738	8.68	0.024	0.017	0.062	699	1020	274
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.2287	0.1716	8.47	0.021	0.015	0.057	699	1020	263
