virus pdb plddt pre_TM post_TM
HA rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 85.2 0.6539 0.5378
HA rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 84.4 0.6335 0.3726
HA rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 84.2 0.6788 0.5353
HA rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 82.8 0.6740 0.5465
HA rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 75.7 0.6508 0.5468
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 62.6 0.2802 0.7786
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 71.5 0.6428 0.3982
HA alphafold2_multimer_v3_model_1_seed_000.r2.pdb 75.4 0.6642 0.5531
HA alphafold2_multimer_v3_model_1_seed_000.r3.pdb 80.9 0.6759 0.5503
HA alphafold2_multimer_v3_model_1_seed_000.r4.pdb 82.7 0.6778 0.3691
HA alphafold2_multimer_v3_model_1_seed_000.r5.pdb 82.8 0.6740 0.5563
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 61.2 0.4957 0.5230
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 75.9 0.7018 0.3642
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 81.5 0.6782 0.3889
HA alphafold2_multimer_v3_model_2_seed_000.r3.pdb 83.4 0.6768 0.3899
HA alphafold2_multimer_v3_model_2_seed_000.r4.pdb 83.9 0.6816 0.3958
HA alphafold2_multimer_v3_model_2_seed_000.r5.pdb 84.2 0.6789 0.5511
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 73.2 0.6932 0.3689
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 80.1 0.6623 0.5507
HA alphafold2_multimer_v3_model_3_seed_000.r2.pdb 85 0.6449 0.3758
HA alphafold2_multimer_v3_model_3_seed_000.r3.pdb 85.1 0.6502 0.3665
HA alphafold2_multimer_v3_model_3_seed_000.r4.pdb 84.9 0.6542 0.3886
HA alphafold2_multimer_v3_model_3_seed_000.r5.pdb 85.2 0.6539 0.5478
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 58.2 0.5911 0.5584
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 78.6 0.6762 0.5205
HA alphafold2_multimer_v3_model_4_seed_000.r2.pdb 84.9 0.6357 0.5467
HA alphafold2_multimer_v3_model_4_seed_000.r3.pdb 85.7 0.6367 0.5457
HA alphafold2_multimer_v3_model_4_seed_000.r4.pdb 85.1 0.6356 0.3708
HA alphafold2_multimer_v3_model_4_seed_000.r5.pdb 84.4 0.6335 0.5452
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 63.2 0.5468 0.4019
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 66.3 0.6168 0.7194
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 68.4 0.5993 0.7096
HA alphafold2_multimer_v3_model_5_seed_000.r3.pdb 69.6 0.6266 0.5641
HA alphafold2_multimer_v3_model_5_seed_000.r4.pdb 72.9 0.6358 0.5415
HA alphafold2_multimer_v3_model_5_seed_000.r5.pdb 75.7 0.6510 0.5483
