virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 51.2 0.3462 0.2511
CHAV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 47.1 0.3413 0.2851
CHAV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 46.4 0.3472 0.2841
CHAV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 47.4 0.3467 0.2697
CHAV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 39 0.3299 0.2231
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 46.1 0.3444 0.2157
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 43.2 0.3372 0.2190
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 42 0.3596 0.2178
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.8 0.3441 0.2775
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 43.5 0.3369 0.2810
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 46.4 0.3468 0.2841
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 48.1 0.2447 0.2285
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 45.2 0.3360 0.2704
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.5 0.3409 0.2618
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 47.1 0.3408 0.2871
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 48.5 0.1978 0.2134
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 45.7 0.1895 0.2349
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 44.1 0.1869 0.2455
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 43.9 0.2804 0.2646
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 47 0.3356 0.2186
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 47.4 0.3466 0.2652
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 48.4 0.2459 0.2253
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 45 0.2622 0.2655
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 46.8 0.3253 0.2607
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 46.1 0.3381 0.2151
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 51 0.3473 0.2117
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.2 0.3460 0.2129
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 42.3 0.2162 0.2575
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 40.9 0.3200 0.2742
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.7 0.3230 0.2112
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 39.3 0.3267 0.2726
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 39.4 0.3301 0.2768
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 39 0.3303 0.2620
