virus pdb plddt pre_TM post_TM
RSV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 94.6 0.9957 0.5414
RSV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 93.9 0.9953 0.5417
RSV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 94.8 0.9957 0.5408
RSV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 94 0.9959 0.5420
RSV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 91.2 0.9953 0.5423
RSV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 76.4 0.9818 0.5397
RSV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 90.7 0.9937 0.5454
RSV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 93.9 0.9954 0.5419
RSV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 71.1 0.4034 0.2739
RSV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 69.6 0.4180 0.2600
RSV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 70.6 0.4220 0.2509
RSV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 81.2 0.9608 0.5647
RSV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 85.2 0.9918 0.5361
RSV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 91.2 0.9953 0.5424
RSV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 70.7 0.7126 0.4130
RSV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 90.6 0.9893 0.5416
RSV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 93.7 0.9955 0.5416
RSV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 94.8 0.9957 0.5408
RSV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 87.1 0.9927 0.5409
RSV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 94.1 0.9953 0.5406
RSV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 94.6 0.9958 0.5420
RSV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 84.8 0.9411 0.5033
RSV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 92.9 0.9916 0.5390
RSV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 93.8 0.9956 0.5427
RSV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 94 0.9959 0.5420
