virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 63.5 0.4169 0.2558
JUNV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 62.3 0.4277 0.2393
JUNV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 61.1 0.4187 0.2710
JUNV rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 57.9 0.4243 0.2914
JUNV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 55.8 0.4207 0.2470
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 48.1 0.2785 0.2438
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 55.4 0.2706 0.3316
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 56 0.4095 0.2922
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 57.6 0.3987 0.2774
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 55.7 0.4284 0.2624
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 57.9 0.4246 0.2863
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 54.1 0.3620 0.2506
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 60 0.3797 0.3746
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 62 0.4259 0.2447
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 61.7 0.4232 0.2501
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 62.7 0.4236 0.2462
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 62.3 0.4278 0.2382
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 58.4 0.4021 0.2435
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 62.2 0.4172 0.2438
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 60 0.4179 0.2247
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 61 0.4180 0.2354
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 61.7 0.4192 0.2260
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 61.1 0.4185 0.2365
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.1 0.3628 0.3506
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.8 0.4180 0.2400
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 62.6 0.4135 0.2378
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 62.8 0.4194 0.3160
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 62.9 0.4239 0.3126
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 63.5 0.4169 0.2556
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 50.4 0.3933 0.3480
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 61.6 0.4186 0.2485
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 58.8 0.4275 0.2366
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 55.7 0.4115 0.2471
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 56.9 0.4167 0.3122
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 55.8 0.4219 0.2424
