virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 64.9 0.4399 0.2524
JUNV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 63.9 0.4217 0.2550
JUNV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 64.4 0.4320 0.2455
JUNV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 57.5 0.4245 0.2665
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 61.8 0.4274 0.2502
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 57.2 0.4128 0.2892
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 62.1 0.4168 0.2504
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 62.2 0.4202 0.2358
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 61.7 0.4303 0.2407
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 62.6 0.4378 0.2312
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 64.9 0.4402 0.2517
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 57.8 0.3996 0.2355
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 58.7 0.4196 0.2323
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 63.1 0.4303 0.2450
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 63.1 0.4269 0.2454
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 64.2 0.4310 0.2423
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 64.4 0.4321 0.2417
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 58.6 0.4062 0.2458
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 62.3 0.4114 0.2468
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 60.3 0.4237 0.2484
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 61.8 0.4294 0.2524
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 61.8 0.4274 0.2542
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 61.8 0.4276 0.2231
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 59 0.4024 0.2593
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 59.4 0.3995 0.2376
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 62.7 0.4224 0.2330
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 63.9 0.4195 0.2545
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 63.9 0.4219 0.2532
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 56.8 0.4096 0.2617
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 58.7 0.4109 0.2568
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 58.5 0.4238 0.2480
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 59 0.4194 0.2482
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 58.2 0.4264 0.2461
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 57.5 0.4248 0.2682
