#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0684	0.2364	5.40	0.006	0.025	0.074	1356	325	108
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0749	0.2635	5.02	0.007	0.028	0.078	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0761	0.2628	5.17	0.007	0.028	0.076	1356	325	119
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0735	0.2591	4.80	0.004	0.018	0.053	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0748	0.2636	5.07	0.007	0.031	0.086	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0744	0.2575	5.09	0.007	0.028	0.078	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0548	0.1830	5.53	0.004	0.018	0.068	1356	325	88
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0702	0.2396	5.56	0.007	0.031	0.089	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0693	0.2332	5.77	0.003	0.012	0.036	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0681	0.2353	5.59	0.006	0.025	0.074	1356	325	108
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
