virus pdb plddt pre_TM post_TM
HA rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 71.3 0.1357 0.8910
HA rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 71.9 0.1408 0.4316
HA rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 72.4 0.1391 0.8690
HA rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 69.5 0.1378 0.8694
HA rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 68.6 0.1378 0.8887
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 50.9 0.1316 0.4498
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 70.9 0.1094 0.3830
HA alphafold2_multimer_v3_model_1_seed_000.r2.pdb 75.6 0.1396 0.8702
HA alphafold2_multimer_v3_model_1_seed_000.r3.pdb 73.2 0.1390 0.8656
HA alphafold2_multimer_v3_model_1_seed_000.r4.pdb 72.2 0.1398 0.4446
HA alphafold2_multimer_v3_model_1_seed_000.r5.pdb 72.4 0.1387 0.8694
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 43.6 0.1328 0.8089
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 70.6 0.1105 0.8949
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 69.6 0.1357 0.8953
HA alphafold2_multimer_v3_model_2_seed_000.r3.pdb 71.8 0.1139 0.8926
HA alphafold2_multimer_v3_model_2_seed_000.r4.pdb 70.8 0.1145 0.8936
HA alphafold2_multimer_v3_model_2_seed_000.r5.pdb 71.3 0.1151 0.8919
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 48.4 0.1179 0.4500
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 59.4 0.1351 0.5189
HA alphafold2_multimer_v3_model_3_seed_000.r2.pdb 70.1 0.1355 0.4345
HA alphafold2_multimer_v3_model_3_seed_000.r3.pdb 69.6 0.1137 0.4351
HA alphafold2_multimer_v3_model_3_seed_000.r4.pdb 69.3 0.1161 0.4328
HA alphafold2_multimer_v3_model_3_seed_000.r5.pdb 68.6 0.1146 0.8894
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.1 0.1154 0.8135
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 68.4 0.1179 0.4376
HA alphafold2_multimer_v3_model_4_seed_000.r2.pdb 69.1 0.1152 0.4364
HA alphafold2_multimer_v3_model_4_seed_000.r3.pdb 70.4 0.1193 0.8695
HA alphafold2_multimer_v3_model_4_seed_000.r4.pdb 70 0.1180 0.8690
HA alphafold2_multimer_v3_model_4_seed_000.r5.pdb 69.5 0.1361 0.8698
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 50.6 0.1347 0.4425
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 67.7 0.1361 0.8893
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 71.1 0.1157 0.8892
HA alphafold2_multimer_v3_model_5_seed_000.r3.pdb 69.2 0.1389 0.8924
HA alphafold2_multimer_v3_model_5_seed_000.r4.pdb 70.8 0.1374 0.8949
HA alphafold2_multimer_v3_model_5_seed_000.r5.pdb 71.9 0.1407 0.8907
