virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 54.9 0.2013 0.2448
MACV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 53.6 0.3595 0.2643
MACV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 42.7 0.2562 0.2402
MACV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 55.2 0.2621 0.2549
MACV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 45.5 0.1852 0.2713
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 38.6 0.1848 0.2299
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 38.2 0.1898 0.1989
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 45.1 0.1793 0.2546
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 43.4 0.1870 0.2182
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 46.5 0.1812 0.2233
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 45.5 0.1855 0.2693
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 44.2 0.2240 0.1836
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 44.9 0.2795 0.2146
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 50.6 0.2827 0.1963
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 51.7 0.2896 0.2928
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 54.3 0.2823 0.2463
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 55.2 0.2278 0.2749
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 48.4 0.3867 0.2782
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 53.5 0.3512 0.2660
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 54.9 0.1986 0.3046
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 52.8 0.2835 0.2800
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 53.5 0.3332 0.2768
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.6 0.3602 0.2523
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 46.8 0.1891 0.2048
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 46.4 0.3470 0.2255
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 53.1 0.1969 0.2355
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 51.5 0.1971 0.3206
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 53.9 0.2030 0.2729
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 54.9 0.2014 0.3368
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 42.2 0.2690 0.2737
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 42.9 0.2214 0.3139
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.5 0.2292 0.2795
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 41.6 0.1744 0.3694
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 40.3 0.1699 0.3010
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.7 0.1925 0.2480
