virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 59.2 0.4154 0.2832
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 66.7 0.4059 0.3044
LUJV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 61.8 0.3936 0.3057
LUJV rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 61.5 0.3883 0.3285
LUJV rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 65.4 0.3191 0.2242
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 50.8 0.4066 0.2452
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 59.7 0.3884 0.3033
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 59.4 0.4096 0.2728
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 62.4 0.3683 0.2557
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 61.3 0.3737 0.3034
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 61.5 0.3880 0.2161
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 53.4 0.3948 0.2824
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 60.6 0.3955 0.2477
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59.6 0.4058 0.1972
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 61.4 0.3973 0.2514
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 61.8 0.3962 0.3052
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 61.8 0.3938 0.3246
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 55.7 0.3984 0.2646
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 61.5 0.4186 0.2449
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 64 0.3964 0.2630
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 66.2 0.4163 0.2522
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 66.7 0.4111 0.2303
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 66.7 0.4062 0.3020
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 56 0.3765 0.2378
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 62.8 0.3443 0.3281
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 63.2 0.3296 0.2354
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 64.3 0.3159 0.2338
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 64.2 0.3284 0.2698
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 65.4 0.3218 0.3156
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52.2 0.3786 0.4173
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 54.8 0.4049 0.3145
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 59.1 0.3661 0.2766
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 59 0.3727 0.2796
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 59.6 0.4083 0.3149
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 59.2 0.4154 0.2553
