virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 37.9 0.2851 0.9729
EBOV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 36.7 0.2343 0.9754
EBOV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 33 0.2148 0.9730
EBOV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 40.5 0.3137 0.9712
EBOV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 39.2 0.2447 0.9763
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 36.5 0.2103 0.9766
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 38.6 0.2812 0.9731
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 39 0.2876 0.9744
EBOV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 37.9 0.2974 0.9755
EBOV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 38.3 0.2788 0.9743
EBOV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 37.9 0.2785 0.9752
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 35.2 0.2118 0.9707
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 34.8 0.1847 0.9739
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 33.8 0.2328 0.9741
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 33.2 0.3213 0.9742
EBOV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 33.2 0.2779 0.9739
EBOV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 33 0.2678 0.9745
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 36.3 0.1965 0.9724
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 40.9 0.2100 0.9770
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 39.7 0.2196 0.9745
EBOV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 39 0.2525 0.9770
EBOV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 38.6 0.2146 0.9761
EBOV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 39.2 0.2334 0.9776
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 37.1 0.1646 0.9758
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 41 0.1931 0.9752
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 39.8 0.2240 0.9752
EBOV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 40.9 0.2834 0.9746
EBOV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 41.8 0.3303 0.9730
EBOV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 40.5 0.1882 0.9734
