virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 53.8 0.3469 0.2737
JUNV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 58.2 0.4274 0.2398
JUNV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 42.5 0.4385 0.2808
JUNV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 50.2 0.2609 0.2928
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 47.3 0.3895 0.2780
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 40 0.3522 0.2410
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 40.1 0.3771 0.2694
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 40.9 0.3979 0.2204
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 44.8 0.4189 0.2629
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 49.4 0.4203 0.2420
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 53.8 0.3469 0.2747
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.9 0.2656 0.1961
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 45.2 0.2500 0.2341
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 47.4 0.2142 0.2178
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 48.1 0.3234 0.1780
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 49.3 0.2509 0.2134
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.2 0.2604 0.2276
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 51.2 0.2380 0.2965
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 46.8 0.4210 0.2821
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 46.8 0.4240 0.2183
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47.4 0.4212 0.2456
