virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 48.8 0.4131 0.2694
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 53.3 0.4106 0.2643
LUJV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 45.4 0.3985 0.2783
LUJV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 53.6 0.3587 0.2112
LUJV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 47.6 0.3772 0.2395
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 40.7 0.3280 0.2496
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 42.8 0.3205 0.3009
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 42.7 0.3730 0.3005
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 46.1 0.4060 0.2810
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 48.1 0.4175 0.3025
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 48.8 0.4132 0.2805
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 41.5 0.3390 0.2282
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 44.8 0.2664 0.2843
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 43.3 0.3433 0.2694
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 42.7 0.3726 0.3018
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 46.8 0.3751 0.2445
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 47.6 0.3785 0.3116
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 49.8 0.4060 0.2530
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 50.7 0.3947 0.2172
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 53.2 0.4119 0.2580
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 52.5 0.4147 0.2576
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 52.4 0.4106 0.3205
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.3 0.4113 0.2929
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 42.6 0.3281 0.2230
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 43.7 0.2329 0.2723
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 45.2 0.3683 0.2292
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 47.8 0.3847 0.2836
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 48.5 0.3988 0.2592
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 53.6 0.3587 0.2313
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 41.4 0.3909 0.3407
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 48.1 0.4092 0.2840
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 48.4 0.3865 0.2659
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 45.4 0.3995 0.2525
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 47.5 0.4038 0.2484
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 45.4 0.3983 0.2820
