#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:B:F	0.6462	0.9864	1.20	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6461	0.9862	1.23	0.632	0.968	0.968	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:D:F:B	0.6466	0.9873	1.16	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6454	0.9847	1.28	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:F:B:D	0.6442	0.9826	1.45	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:B:F	0.6467	0.9873	1.16	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:B:F	0.6138	0.9205	3.11	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
