virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 86.3 0.0830 0.9748
EBOV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 83.9 0.0846 0.9747
EBOV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 83.1 0.1008 0.9731
EBOV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 81.9 0.0964 0.9761
EBOV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 81.2 0.0925 0.9748
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 84.8 0.0886 0.9786
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 83.9 0.0864 0.9764
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 84.6 0.0868 0.9754
EBOV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 85.3 0.0899 0.9752
EBOV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 86.3 0.0822 0.9751
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 89.4 0.0844 0.9758
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 82.8 0.0881 0.9758
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 83.9 0.0963 0.9748
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 81.1 0.0918 0.9782
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 87.9 0.0919 0.9772
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 82.9 0.0862 0.9771
EBOV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 81.9 0.0828 0.9768
EBOV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 81.9 0.0971 0.9765
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 84.2 0.0817 0.9780
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 83.8 0.0838 0.9748
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 83.1 0.1003 0.9734
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 83.4 0.0949 0.9804
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 81.7 0.0930 0.9769
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 81.8 0.0837 0.9759
EBOV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 81.2 0.0972 0.9751
LASV1 rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 53.7 0.1149 0.7900
LASV1 rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 50.9 0.1412 0.7888
LASV1 rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 50.2 0.1310 0.4889
LASV1 rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 45.9 0.1034 0.3608
LASV1 rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 46.2 0.1525 0.7706
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 37.2 0.1199 0.2606
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 47.7 0.1137 0.7566
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 48 0.1330 0.7937
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.1 0.1189 0.7980
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 48.1 0.1311 0.5053
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 45.9 0.1132 0.5693
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.4 0.1211 0.7424
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 52.8 0.1325 0.7912
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 53.1 0.1375 0.8101
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 50.7 0.1289 0.8028
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 49.5 0.1365 0.8151
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.2 0.1308 0.4919
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 37.8 0.1367 0.5177
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 44.8 0.1392 0.7951
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.7 0.1389 0.8472
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 51.3 0.1317 0.8029
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 52.3 0.1059 0.7994
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.7 0.1106 0.7911
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 40.8 0.1215 0.6280
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 41.8 0.1085 0.6594
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 41.9 0.1114 0.3292
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 41.3 0.1351 0.5817
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 43.9 0.1507 0.7622
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 46.2 0.1440 0.7706
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 35.4 0.1406 0.5614
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 44.8 0.1250 0.8306
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 51.2 0.1364 0.8007
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 47.2 0.1195 0.7926
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 48.4 0.1361 0.7958
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 50.9 0.1409 0.7891
LASV2 rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 40.7 0.1069 0.5601
LASV2 rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 35.9 0.1369 0.6281
LASV2 rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 31.7 0.1331 0.5325
LASV2 rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 34.4 0.1282 0.4809
LASV2 rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 35 0.1440 0.5671
LASV2 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 34.8 0.1407 0.5817
LASV2 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 34.4 0.1238 0.4817
LASV2 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 34.5 0.1283 0.5705
LASV2 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 33.5 0.1418 0.5645
LASV2 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 34 0.1465 0.5736
LASV2 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 35 0.1382 0.5641
LASV2 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 34.8 0.1343 0.6136
LASV2 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 33.8 0.1202 0.5712
LASV2 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 36.5 0.1431 0.6062
LASV2 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 39 0.1111 0.8470
