virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 51.2 0.4095 0.2511
CHAV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 47.1 0.3973 0.2851
CHAV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 46.4 0.4121 0.2841
CHAV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 47.4 0.4055 0.2697
CHAV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 39 0.3884 0.2231
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 46.1 0.3937 0.2157
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 43.2 0.3914 0.2190
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 42 0.4162 0.2178
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.8 0.4062 0.2775
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 43.5 0.3958 0.2810
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 46.4 0.4112 0.2841
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 48.1 0.2465 0.2285
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 45.2 0.3908 0.2704
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.5 0.3997 0.2618
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 47.1 0.3967 0.2871
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 48.5 0.2020 0.2134
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 45.7 0.2477 0.2349
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 44.1 0.2774 0.2455
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 43.9 0.3262 0.2646
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 47 0.3912 0.2186
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 47.4 0.4048 0.2652
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 48.4 0.2549 0.2253
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 45 0.3057 0.2655
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 46.8 0.3774 0.2607
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 46.1 0.4021 0.2151
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 51 0.4098 0.2117
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.2 0.4095 0.2129
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 42.3 0.2560 0.2575
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 40.9 0.3694 0.2742
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.7 0.3787 0.2112
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 39.3 0.3818 0.2726
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 39.4 0.3859 0.2768
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 39 0.3872 0.2620
