virus pdb plddt pre_TM post_TM
RSV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 94 0.6399 0.8223
RSV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 93.6 0.6388 0.8221
RSV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 93.6 0.6386 0.8231
RSV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 94.1 0.6403 0.8227
RSV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 93.8 0.6334 0.8223
RSV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 88.3 0.6439 0.8192
RSV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 93.6 0.6388 0.8221
RSV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 93.6 0.6387 0.8231
RSV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 78.3 0.6445 0.8161
RSV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 93.7 0.6314 0.8223
RSV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 93.8 0.6334 0.8223
RSV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 78 0.6113 0.8096
RSV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 93.9 0.6384 0.8224
RSV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 94.1 0.6400 0.8227
RSV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 89.2 0.6298 0.8177
RSV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 93.5 0.6405 0.8220
RSV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 94 0.6396 0.8223
RSV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 79 0.6456 0.8149
RSV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 93.5 0.6358 0.8216
RSV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 93.6 0.6385 0.8221
