#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.2181	0.2851	9.27	0.019	0.027	0.060	1395	984	450
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:I:J:K:L:N	0.1787	0.2343	8.98	0.030	0.043	0.116	1395	984	362
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:L:K:I:N:J:M	0.1637	0.2148	8.83	0.015	0.021	0.064	1395	984	329
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.2384	0.3137	8.89	0.034	0.048	0.099	1395	984	477
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:L:I:K:N:J:M	0.1859	0.2447	8.66	0.036	0.051	0.136	1395	984	368
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:I:M:N:L:J	0.2128	0.2785	9.27	0.018	0.025	0.057	1395	984	438
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.1613	0.2103	9.54	0.009	0.013	0.038	1395	984	339
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:K:I:J:N:L	0.2139	0.2812	9.10	0.021	0.029	0.067	1395	984	434
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.2186	0.2876	9.13	0.018	0.025	0.056	1395	984	443
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.2264	0.2974	8.92	0.019	0.026	0.057	1395	984	456
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
