virus pdb plddt pre_TM post_TM
MARV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 33.9 0.2639 0.2895
MARV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 35 0.3140 0.2707
MARV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 36.2 0.3398 0.2674
MARV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 32.9 0.3021 0.2635
MARV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 27.4 0.1318 0.3510
MARV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 32.6 0.3573 0.2257
MARV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 39.4 0.3655 0.2687
MARV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 36.2 0.3493 0.2787
MARV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 35.8 0.3451 0.2637
MARV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 36.1 0.3444 0.2939
MARV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 36.2 0.3384 0.2878
MARV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 27.5 0.1949 0.2273
MARV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 34.7 0.3689 0.2858
MARV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 33.1 0.3473 0.2897
MARV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 32.5 0.3280 0.2892
MARV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 33.2 0.3310 0.2971
MARV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 32.9 0.3037 0.2630
MARV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 27.9 0.1784 0.2175
MARV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 26 0.1629 0.2032
MARV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 26.7 0.1280 0.2997
MARV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 27.6 0.1302 0.3091
MARV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 27 0.1152 0.2043
MARV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 27.4 0.1328 0.3559
MARV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 30.2 0.3663 0.2610
MARV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 37.8 0.3804 0.2570
MARV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 35.5 0.3616 0.2725
MARV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 34.9 0.3427 0.2686
MARV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 34.4 0.3272 0.2721
MARV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 35 0.3131 0.2697
MARV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 27.3 0.3233 0.2007
MARV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 26.8 0.3428 0.2022
MARV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 32.5 0.3007 0.2674
MARV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 33.7 0.2983 0.2711
MARV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 33.4 0.2941 0.2896
MARV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 33.9 0.2813 0.2904
