virus pdb plddt pre_TM post_TM
MARV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 40.5 0.2130 0.8964
MARV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 36.5 0.3118 0.9011
MARV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 37.1 0.3042 0.9036
MARV rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 35.1 0.2364 0.9198
MARV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 32.1 0.2236 0.9042
MARV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 34.6 0.1815 0.8977
MARV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 36.5 0.1816 0.9024
MARV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 36.1 0.2321 0.9041
MARV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 35.5 0.2288 0.9054
MARV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 35.6 0.2078 0.9162
MARV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 35.1 0.2396 0.9221
MARV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 33.8 0.2272 0.8980
MARV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 32.7 0.2244 0.9027
MARV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 32.5 0.2677 0.9054
MARV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 32.2 0.3048 0.4324
MARV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 32.4 0.2464 0.4199
MARV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 32.1 0.2122 0.9061
MARV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 34.2 0.2218 0.4206
MARV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 37.9 0.2221 0.8993
MARV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 36.9 0.3202 0.9015
MARV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 36.3 0.2903 0.9026
MARV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 36.5 0.2260 0.9015
MARV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 37.1 0.3040 0.9045
MARV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 37.4 0.1806 0.9008
MARV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 39.5 0.2836 0.8985
MARV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 39.8 0.2865 0.9010
MARV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 39.5 0.2723 0.8990
MARV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 39.7 0.2354 0.8977
MARV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 40.5 0.2933 0.8986
MARV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 34.8 0.2931 0.9027
MARV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 36.9 0.1851 0.8996
MARV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 37 0.3130 0.9024
MARV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 36.6 0.3157 0.9015
MARV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 36.4 0.3055 0.9007
MARV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 36.5 0.3117 0.9018
