virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 87.5 0.2871 0.3148
EBOV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 86.6 0.2872 0.3141
EBOV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 82.4 0.2871 0.2340
EBOV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 72.6 0.2870 0.2945
EBOV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 58.3 0.2839 0.2437
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 76.6 0.2813 0.2199
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 82.6 0.2867 0.2989
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 87.5 0.2873 0.2251
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.4 0.1848 0.2190
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 50.3 0.2752 0.2501
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 53.4 0.2808 0.3197
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 56.7 0.2828 0.2460
EBOV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 58.3 0.2838 0.2980
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 70.9 0.2870 0.3152
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 73.6 0.2865 0.2356
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 82.4 0.2872 0.2367
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 82.1 0.2847 0.2299
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 79.8 0.2870 0.2977
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 86.6 0.2873 0.2963
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 73.6 0.2865 0.2318
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 66.6 0.2863 0.2961
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 72.6 0.2871 0.2955
