virus pdb plddt pre_TM post_TM
LASV1 rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 44.6 0.3876 0.7391
LASV1 rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 42.8 0.2794 0.3901
LASV1 rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 46.8 0.2770 0.7222
LASV1 rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 46.7 0.2735 0.3761
LASV1 rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 44.9 0.2328 0.3846
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 42.7 0.3670 0.3172
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 45.7 0.2657 0.3845
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 46.1 0.2577 0.7616
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.5 0.2825 0.7498
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 43 0.2674 0.3687
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 46.8 0.2808 0.7242
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 37.8 0.2751 0.2529
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 43.2 0.2744 0.3650
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 43.4 0.3308 0.3912
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 44.5 0.3335 0.4038
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 44.5 0.3617 0.7411
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 44.6 0.3902 0.4095
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 39.2 0.2445 0.2248
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 41.5 0.3124 0.5367
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 45.2 0.2888 0.5845
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 44.4 0.2518 0.5738
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 46.7 0.2804 0.3623
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 46.7 0.2739 0.3757
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 41.4 0.2567 0.3048
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 43.8 0.2704 0.4058
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 42.8 0.2959 0.2593
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 44.5 0.2538 0.2256
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 45.1 0.2382 0.2335
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 44.9 0.2529 0.3794
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 38.8 0.2303 0.3628
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 41.3 0.2756 0.7273
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 42.4 0.2592 0.4011
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 42.9 0.2806 0.7447
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 43.4 0.2530 0.3680
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.8 0.2787 0.7258
