virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 91.8 0.2870 0.3142
EBOV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 88.7 0.2873 0.2968
EBOV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 79.1 0.2872 0.2372
EBOV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 75.2 0.2866 0.2382
EBOV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 64.1 0.2853 0.2389
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 78.3 0.2841 0.2421
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 83.6 0.2872 0.3005
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 88.7 0.2873 0.2348
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 46 0.2357 0.2559
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 56.4 0.2810 0.2979
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59 0.2848 0.3175
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 64.1 0.2853 0.2367
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 69.5 0.2858 0.2958
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 75.2 0.2867 0.2351
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 81.8 0.2842 0.2365
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 86.6 0.2870 0.2403
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 91.8 0.2871 0.2967
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 68.6 0.2872 0.2434
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 70.4 0.2869 0.2336
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 79.1 0.2872 0.3140
LASV1 rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 62.2 0.1755 0.1974
LASV1 rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 48.4 0.3949 0.2177
LASV1 rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 53.7 0.3779 0.2306
LASV1 rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 49.8 0.2992 0.2091
LASV1 rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 38.6 0.2162 0.2259
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 36.8 0.1956 0.2248
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 35.6 0.1947 0.2336
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 37.6 0.2088 0.2271
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 37.5 0.2095 0.1975
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 37.7 0.2128 0.2427
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 38.6 0.2149 0.2073
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.7 0.2550 0.2229
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 54.4 0.1756 0.2054
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 58.2 0.1731 0.2237
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 59.7 0.1737 0.1987
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 61.8 0.1754 0.1959
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 62.2 0.1755 0.1964
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 53.2 0.1928 0.2254
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 50.4 0.1851 0.2296
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 51.2 0.2273 0.2161
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 49.1 0.2238 0.2013
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 49.9 0.2294 0.2047
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 49.8 0.3003 0.2342
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 46.7 0.1875 0.2219
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 48.9 0.2483 0.2657
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 51.5 0.2259 0.2109
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 53 0.3745 0.2461
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 53.4 0.3852 0.2313
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 53.7 0.3784 0.2152
