virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 57 0.2576 0.9616
JUNV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 54.9 0.2773 0.9590
JUNV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 52.9 0.2074 0.9477
JUNV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 56.5 0.2044 0.9588
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 55 0.2274 0.9608
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 53.9 0.1901 0.9363
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 56.2 0.1925 0.9512
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 56.6 0.2808 0.9565
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 56.7 0.2740 0.9593
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 56.6 0.2722 0.9617
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 57 0.2570 0.9621
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 52.2 0.1939 0.9211
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 54.8 0.2121 0.9551
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 54.5 0.2665 0.9604
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 54.7 0.2800 0.9601
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 55.1 0.2281 0.9565
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 54.9 0.2792 0.9600
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 50.3 0.2122 0.3480
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 50.8 0.2354 0.3791
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 57.4 0.2141 0.9546
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.2 0.2266 0.9562
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 55.5 0.2425 0.9606
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 55 0.2363 0.9611
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 55.7 0.2053 0.9649
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 54.7 0.2544 0.9534
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.3 0.2136 0.9611
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56.5 0.2093 0.9602
