virus pdb plddt pre_TM post_TM
MARV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 63.9 0.1324 0.8971
MARV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 60.1 0.1340 0.8957
MARV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 57.8 0.1192 0.8990
MARV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 58.2 0.1251 0.8987
MARV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 58.3 0.1042 0.9008
MARV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 63 0.1251 0.9008
MARV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 63 0.1295 0.8996
MARV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 63.3 0.1133 0.8968
MARV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 62.4 0.1235 0.8974
MARV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 63.6 0.1613 0.8975
MARV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 63.9 0.1710 0.8974
MARV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 50.4 0.1547 0.8916
MARV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 61.9 0.1383 0.8993
MARV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 58.2 0.1415 0.8991
MARV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 56.2 0.1585 0.8983
MARV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 57 0.1263 0.9001
MARV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 57.8 0.1124 0.8988
MARV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 51 0.1186 0.9042
MARV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 63.8 0.1395 0.8990
MARV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 59.7 0.1336 0.8983
MARV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 57.8 0.1070 0.8993
MARV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 57.4 0.1305 0.9003
MARV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 58.3 0.1154 0.9006
MARV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 63.6 0.1318 0.8965
MARV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 60.3 0.1205 0.9001
MARV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 60.3 0.1352 0.8947
MARV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 60.4 0.1188 0.8956
MARV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 60.4 0.1179 0.8946
MARV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 60.1 0.1287 0.8955
MARV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52.1 0.1437 0.9114
MARV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 61.6 0.1297 0.8992
MARV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 58.3 0.1700 0.9002
MARV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 57.7 0.1640 0.9005
MARV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 59 0.1725 0.8942
MARV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 58.2 0.1247 0.8988
