#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.2061	0.2241	8.43	0.035	0.039	0.119	1362	1224	402
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:B:A:a:b:c	0.1614	0.1752	9.36	0.021	0.024	0.088	1362	1224	330
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:c:A:B:a:b	0.1731	0.1890	8.45	0.026	0.029	0.111	1362	1224	325
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.1954	0.2114	10.14	0.018	0.020	0.056	1362	1224	426
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:C:B:a:b:c	0.1594	0.1742	8.21	0.020	0.022	0.092	1362	1224	294
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:c:a:A:B:b	0.1289	0.1405	8.77	0.015	0.016	0.081	1362	1224	248
