virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 59.2 0.1066 0.9526
LUJV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 54.9 0.1282 0.9553
LUJV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 56 0.1326 0.9362
LUJV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 55.9 0.1276 0.9478
LUJV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 53.8 0.1277 0.9614
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 48.4 0.1292 0.9519
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 52.1 0.1151 0.9624
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 53.8 0.1090 0.9625
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 55.4 0.1147 0.9557
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 55.9 0.1191 0.9536
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 54.9 0.1147 0.9562
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 62.6 0.1100 0.9639
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 61.2 0.1277 0.9579
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59.3 0.1404 0.9553
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 60.4 0.1336 0.9502
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 59.7 0.1313 0.9542
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 59.2 0.1352 0.9529
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 58.8 0.1145 0.9619
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 60 0.1248 0.9612
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 56.4 0.1276 0.9572
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 55.5 0.1235 0.9626
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 54.2 0.1203 0.9615
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.8 0.1283 0.9616
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 63.9 0.1163 0.9653
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 57.5 0.1428 0.9569
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 57 0.1359 0.9487
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57 0.1369 0.9471
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 56.3 0.1339 0.9482
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 55.9 0.1276 0.9481
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 54.2 0.1198 0.9408
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 57.7 0.1243 0.9315
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 58.3 0.1334 0.9352
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 58 0.1354 0.9344
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 57.8 0.1369 0.9375
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 56 0.1334 0.9371
