virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 86.3 0.0830 0.9748
EBOV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 83.9 0.0846 0.9747
EBOV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 83.1 0.1008 0.9731
EBOV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 81.9 0.0964 0.9761
EBOV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 81.2 0.0925 0.9748
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 84.8 0.0886 0.9786
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 83.9 0.0864 0.9764
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 84.6 0.0868 0.9754
EBOV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 85.3 0.0899 0.9752
EBOV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 86.3 0.0822 0.9751
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 89.4 0.0844 0.9758
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 82.8 0.0881 0.9758
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 83.9 0.0963 0.9748
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 81.1 0.0918 0.9782
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 87.9 0.0919 0.9772
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 82.9 0.0862 0.9771
EBOV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 81.9 0.0828 0.9768
EBOV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 81.9 0.0971 0.9765
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 84.2 0.0817 0.9780
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 83.8 0.0838 0.9748
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 83.1 0.1003 0.9734
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 83.4 0.0949 0.9804
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 81.7 0.0930 0.9769
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 81.8 0.0837 0.9759
EBOV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 81.2 0.0972 0.9751
