virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 59.4 0.3681 0.2245
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 53.2 0.4622 0.2485
LUJV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 48.5 0.4345 0.2733
LUJV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 42.3 0.4463 0.2918
LUJV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 41.1 0.3230 0.2677
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 36.6 0.2344 0.2300
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 36.5 0.2429 0.2552
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 38.2 0.3091 0.2932
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 39.6 0.2361 0.2347
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 40.9 0.3130 0.2475
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.1 0.3235 0.2637
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 39.9 0.3650 0.3110
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 44 0.4078 0.2281
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 46 0.4327 0.3047
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 46.4 0.4352 0.3132
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 47.9 0.4195 0.3080
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 48.5 0.4337 0.2716
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 44.9 0.2136 0.2444
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 43.4 0.2576 0.2484
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.7 0.4537 0.2758
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 51.8 0.4050 0.2393
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 52.6 0.4170 0.2748
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.2 0.4620 0.2535
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 47 0.3673 0.2488
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 49.8 0.4195 0.2605
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.1 0.3781 0.2573
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57.8 0.3785 0.2752
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 58.5 0.3697 0.2898
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 59.4 0.3683 0.2925
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 36 0.2203 0.3309
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 36.6 0.3264 0.3500
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.6 0.4174 0.3150
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 40.1 0.4411 0.2882
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 40.2 0.4357 0.3406
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.3 0.4473 0.2831
