virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 56.9 0.1486 0.9488
JUNV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 53.5 0.1276 0.9273
JUNV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 53.3 0.1305 0.9489
JUNV rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 51.8 0.1439 0.9604
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 50.4 0.1288 0.9465
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 51.3 0.1326 0.9371
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 53.5 0.1246 0.9528
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 50.6 0.1320 0.9560
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 53.1 0.1142 0.9583
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 52.6 0.1155 0.9608
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 51.8 0.1400 0.9612
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 59 0.1274 0.9520
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 57.4 0.1313 0.9417
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 58.2 0.1457 0.9380
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 57 0.1272 0.9469
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 56.5 0.1484 0.9485
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 56.9 0.1499 0.9493
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 54.4 0.1290 0.9506
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 56.1 0.1346 0.9367
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 54.9 0.1306 0.9457
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 54.6 0.1326 0.9419
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 53.2 0.1281 0.9480
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 50.4 0.1279 0.9460
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 61.2 0.1170 0.9523
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 55.4 0.1143 0.9554
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 54.8 0.1376 0.9516
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 54.2 0.1322 0.9510
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 53.4 0.1311 0.9494
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 53.3 0.1319 0.9489
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 54.5 0.1060 0.9297
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.5 0.1346 0.9349
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 52.9 0.1416 0.9292
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 54.3 0.1316 0.9273
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 54.4 0.1405 0.9282
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 53.5 0.1308 0.9274
