virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 48.2 0.3582 0.2780
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 51.3 0.3971 0.2708
LUJV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 51.2 0.3117 0.2651
LUJV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 51.5 0.1746 0.1901
LUJV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 36.2 0.1800 0.2332
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 35.5 0.1832 0.2429
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 35.6 0.1858 0.2960
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 34 0.1753 0.2135
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 35.8 0.1698 0.2687
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 35.6 0.1738 0.2548
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 36.2 0.1796 0.2753
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 38.9 0.1907 0.2266
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 46 0.1791 0.2283
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.6 0.1796 0.2149
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 49.8 0.1757 0.1968
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.9 0.1761 0.2170
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 51.5 0.1747 0.2240
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 42.9 0.2272 0.2225
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 40.6 0.2451 0.2069
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 48.1 0.4046 0.2639
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 52.6 0.3529 0.2368
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 51.8 0.3649 0.2300
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 51.3 0.3975 0.2556
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 41.8 0.1958 0.1998
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 42.9 0.2688 0.2069
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 45.2 0.3501 0.2639
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 48.2 0.3511 0.2728
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 50.7 0.3193 0.2692
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.2 0.3118 0.3186
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 40.4 0.2953 0.2761
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 44.9 0.3441 0.2735
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 46.2 0.3640 0.2770
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 47.9 0.3608 0.2424
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.8 0.3620 0.2428
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 48.2 0.3583 0.2787
