#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/default/JUNV_NP899218_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0715	0.2524	5.86	0.003	0.015	0.040	1455	325	124
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/default/JUNV_NP899218_relaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0729	0.2550	5.49	0.005	0.025	0.064	1455	325	125
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/default/JUNV_NP899218_relaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0719	0.2455	6.10	0.004	0.018	0.047	1455	325	127
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/default/JUNV_NP899218_relaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0774	0.2665	6.07	0.006	0.028	0.066	1455	325	137
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/default/JUNV_NP899218_relaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0701	0.2502	5.81	0.005	0.022	0.058	1455	325	121
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
