virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 53.8 0.3506 0.2744
JUNV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 58.2 0.4128 0.2398
JUNV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 42.5 0.3766 0.2778
JUNV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 50.2 0.2510 0.2358
JUNV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 47.3 0.3207 0.2788
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 40 0.3524 0.2410
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 40.1 0.3534 0.2694
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 40.9 0.3587 0.2204
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 44.8 0.3944 0.2629
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 49.4 0.4191 0.2420
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 53.8 0.3507 0.2747
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.9 0.2181 0.1961
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 45.2 0.2354 0.2341
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 47.4 0.2183 0.2178
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 48.1 0.2832 0.1780
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 49.3 0.2549 0.2134
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.2 0.2507 0.2276
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 51.2 0.2323 0.2965
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 46.8 0.3464 0.2821
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 46.8 0.3527 0.2183
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47.4 0.3421 0.2456
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 47.7 0.3668 0.2742
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 47.3 0.3211 0.2784
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 48.8 0.3197 0.2207
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 50.1 0.3891 0.2438
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.5 0.4008 0.2561
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 55.6 0.4059 0.2702
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 57.3 0.4113 0.2680
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 58.2 0.4130 0.2356
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 45.7 0.3925 0.2608
