virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 56.7 0.1998 0.9521
MACV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 54.7 0.1871 0.9458
MACV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 51.3 0.1375 0.9535
MACV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 52.3 0.1996 0.9124
MACV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 54.3 0.1537 0.9481
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 52 0.1262 0.9322
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 54.2 0.1672 0.9517
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 54.4 0.1488 0.9505
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 52.3 0.1466 0.9594
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 52.7 0.1815 0.9551
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 51.3 0.1967 0.9555
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 61.3 0.1767 0.9429
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 58.3 0.1499 0.9484
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 56.8 0.1917 0.9463
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 57.2 0.1323 0.9477
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 56.4 0.1946 0.9508
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 56.7 0.1994 0.9519
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 57.5 0.1399 0.9490
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 58.2 0.1845 0.9456
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 55.7 0.1926 0.9483
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.5 0.1877 0.9448
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 54.9 0.1546 0.9525
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 54.3 0.1530 0.9476
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 59.4 0.1664 0.9507
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 56.1 0.1320 0.9566
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.8 0.1747 0.9503
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56 0.1651 0.9493
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 54.8 0.1785 0.9479
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 54.7 0.1457 0.9458
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52 0.1785 0.9129
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 48 0.1620 0.9084
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 51.8 0.1948 0.9136
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.1 0.1930 0.9123
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 51.3 0.1991 0.9125
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 52.3 0.2008 0.9125
