virus pdb plddt pre_TM post_TM
RSV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 94.5 0.9957 0.5415
RSV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 93.9 0.9953 0.5413
RSV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 94.6 0.9954 0.5420
RSV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 93.9 0.9957 0.5417
RSV rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 94.3 0.9955 0.5412
RSV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 71.2 0.9543 0.5272
RSV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 89.9 0.9944 0.5419
RSV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 93.9 0.9953 0.5412
RSV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 70.1 0.4186 0.2723
RSV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 69.9 0.9083 0.5069
RSV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 88.8 0.9921 0.5388
RSV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 93.3 0.9953 0.5413
RSV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 94.3 0.9956 0.5413
RSV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 68.9 0.7174 0.4736
RSV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 91.9 0.9940 0.5454
RSV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 94.6 0.9955 0.5420
RSV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 85.9 0.9921 0.5417
RSV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 93.8 0.9951 0.5405
RSV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 94.5 0.9958 0.5415
RSV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 83.9 0.9556 0.5138
RSV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 92.7 0.9914 0.5380
RSV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 93.6 0.9956 0.5424
RSV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 93.9 0.9957 0.5418
