virus pdb plddt pre_TM post_TM
EBOV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 82.7 0.9879 0.2361
EBOV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 83.2 0.9874 0.2949
EBOV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 83.3 0.9883 0.2994
EBOV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 82.9 0.9884 0.3146
EBOV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 81.9 0.9879 0.3148
EBOV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 68.2 0.7973 0.2792
EBOV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 82.9 0.9873 0.2307
EBOV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 82.9 0.9877 0.2735
EBOV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 83 0.9877 0.2959
EBOV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 82.4 0.9878 0.3151
EBOV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 82.7 0.9879 0.2366
EBOV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 70.1 0.6090 0.2633
EBOV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 83 0.9865 0.2263
EBOV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 83.3 0.9873 0.3144
EBOV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 83.7 0.9877 0.2429
EBOV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 83.2 0.9877 0.2942
EBOV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 80.2 0.9776 0.2301
EBOV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 83.4 0.9881 0.2346
EBOV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 83.3 0.9882 0.2354
EBOV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 82.9 0.9885 0.2346
EBOV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 82.8 0.9872 0.2209
EBOV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 83.9 0.9875 0.3145
EBOV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 83.9 0.9881 0.2960
EBOV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 83.7 0.9882 0.2408
EBOV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 83.6 0.9885 0.2952
EBOV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 83.3 0.9885 0.2409
EBOV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 77.1 0.9246 0.3201
EBOV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 82.7 0.9879 0.2940
EBOV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 82.6 0.9877 0.2414
EBOV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 82.3 0.9880 0.3152
EBOV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 82.1 0.9880 0.2395
EBOV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 81.9 0.9882 0.3153
RSV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 94.5 0.9957 0.5415
RSV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 93.9 0.9953 0.5413
