#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3079	0.3582	7.95	0.045	0.055	0.106	1170	972	499
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.2963	0.3448	8.01	0.051	0.062	0.125	1170	972	481
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2517	0.2949	7.20	0.039	0.047	0.120	1170	972	382
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3181	0.3703	8.06	0.050	0.060	0.112	1170	972	516
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2344	0.2715	8.46	0.030	0.036	0.089	1170	972	395
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3082	0.3589	7.85	0.047	0.057	0.111	1170	972	495
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.2479	0.2867	8.59	0.042	0.050	0.115	1170	972	426
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2911	0.3378	8.02	0.047	0.057	0.115	1170	972	480
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2516	0.2935	7.91	0.042	0.050	0.122	1170	972	401
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2937	0.3414	7.96	0.036	0.043	0.088	1170	972	477
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3076	0.3591	7.59	0.050	0.061	0.122	1170	972	483
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3082	0.3589	7.85	0.047	0.057	0.111	1170	972	495
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.2960	0.3445	7.90	0.056	0.068	0.138	1170	972	479
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:B:C	0.2399	0.2808	7.50	0.030	0.036	0.095	1170	972	370
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.2881	0.3367	7.58	0.044	0.053	0.116	1170	972	450
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.2852	0.3328	8.02	0.050	0.061	0.129	1170	972	456
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2815	0.3292	7.35	0.041	0.049	0.111	1170	972	434
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2801	0.3264	8.11	0.041	0.049	0.106	1170	972	453
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.2960	0.3445	7.90	0.056	0.068	0.138	1170	972	479
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2505	0.2934	7.20	0.046	0.056	0.142	1170	972	381
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2332	0.2731	7.27	0.030	0.036	0.099	1170	972	354
