virus pdb plddt pre_TM post_TM
MARV rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 45.6 0.4721 0.2661
MARV rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 38.3 0.4823 0.2608
MARV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 41.4 0.4827 0.2358
MARV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 37.7 0.4647 0.2444
MARV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 28.4 0.1820 0.2455
MARV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 46.9 0.4786 0.2638
MARV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 44.2 0.4547 0.2651
MARV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 46.6 0.4673 0.2452
MARV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.6 0.4722 0.2411
MARV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 32.9 0.3286 0.2532
MARV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 38.6 0.4604 0.2667
MARV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 36.9 0.4493 0.2722
MARV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 37.5 0.4609 0.2685
MARV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 37.3 0.4580 0.2699
MARV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 37.7 0.4645 0.2442
MARV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 40 0.2401 0.2184
MARV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 33.1 0.2573 0.2205
MARV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 29.9 0.2450 0.2206
MARV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 28.6 0.1794 0.2421
MARV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 28.4 0.1798 0.2474
MARV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 28.4 0.1793 0.2490
MARV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 50.2 0.4851 0.2417
MARV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 43.9 0.4852 0.2391
MARV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 41.2 0.4825 0.2401
MARV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 41.4 0.4826 0.2682
MARV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 37.2 0.2996 0.2138
MARV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 32 0.3501 0.2028
MARV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 36.5 0.3652 0.2716
MARV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 36 0.4521 0.2478
MARV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 37 0.4674 0.2522
MARV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 38.3 0.4818 0.2622
