virus pdb plddt pre_TM post_TM
LASV1 rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb 53.7 0.1149 0.7900
LASV1 rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 50.9 0.1412 0.7888
LASV1 rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 50.2 0.1310 0.4889
LASV1 rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb 45.9 0.1034 0.3608
LASV1 rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 46.2 0.1525 0.7706
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 37.2 0.1199 0.2606
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 47.7 0.1137 0.7566
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 48 0.1330 0.7937
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 45.1 0.1189 0.7980
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 48.1 0.1311 0.5053
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 45.9 0.1132 0.5693
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.4 0.1211 0.7424
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 52.8 0.1325 0.7912
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 53.1 0.1375 0.8101
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 50.7 0.1289 0.8028
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 49.5 0.1365 0.8151
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.2 0.1308 0.4919
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 37.8 0.1367 0.5177
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 44.8 0.1392 0.7951
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.7 0.1389 0.8472
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 51.3 0.1317 0.8029
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 52.3 0.1059 0.7994
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.7 0.1106 0.7911
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 40.8 0.1215 0.6280
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 41.8 0.1085 0.6594
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 41.9 0.1114 0.3292
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 41.3 0.1351 0.5817
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 43.9 0.1507 0.7622
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 46.2 0.1440 0.7706
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 35.4 0.1406 0.5614
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 44.8 0.1250 0.8306
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 51.2 0.1364 0.8007
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 47.2 0.1195 0.7926
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 48.4 0.1361 0.7958
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 50.9 0.1409 0.7891
