virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 48.2 0.4027 0.2780
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 51.3 0.4512 0.2708
LUJV rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 51.2 0.3619 0.2651
LUJV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 51.5 0.2139 0.1901
LUJV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 36.2 0.2215 0.2332
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 35.5 0.2358 0.2429
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 35.6 0.2580 0.2960
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 34 0.2284 0.2135
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 35.8 0.2072 0.2687
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 35.6 0.2213 0.2548
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 36.2 0.2211 0.2753
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 38.9 0.2433 0.2266
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 46 0.2194 0.2283
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.6 0.2226 0.2149
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 49.8 0.2147 0.1968
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.9 0.2151 0.2170
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 51.5 0.2152 0.2240
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 42.9 0.2755 0.2225
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 40.6 0.2107 0.2069
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 48.1 0.4642 0.2639
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 52.6 0.3994 0.2368
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 51.8 0.4109 0.2300
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 51.3 0.4521 0.2556
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 41.8 0.2719 0.1998
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 42.9 0.3263 0.2069
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 45.2 0.4093 0.2639
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 48.2 0.4135 0.2728
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 50.7 0.3701 0.2692
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.2 0.3613 0.3186
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 40.4 0.3418 0.2761
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 44.9 0.4013 0.2735
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 46.2 0.4167 0.2770
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 47.9 0.4099 0.2424
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.8 0.4104 0.2428
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 48.2 0.4028 0.2787
