virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 46.2 0.2241 0.9631
LUJV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 47.4 0.1752 0.9540
LUJV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 45.8 0.1890 0.9441
LUJV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 48.7 0.2114 0.9598
LUJV rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 51.7 0.1742 0.9621
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 45 0.1652 0.9617
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 46.8 0.1854 0.9649
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 47 0.1638 0.9577
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 46.9 0.1865 0.9595
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 46.8 0.1762 0.9550
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 47.4 0.1626 0.9555
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 47 0.1881 0.9710
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 48.4 0.1909 0.9633
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 44.7 0.2302 0.9628
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 44.7 0.1904 0.9644
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 45.4 0.2068 0.9648
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 46.2 0.1405 0.9656
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 50.2 0.1765 0.9556
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 47.2 0.1905 0.9623
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.4 0.2173 0.9616
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47 0.2245 0.9615
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 48.4 0.2069 0.9618
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 48.7 0.2122 0.9625
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 47.8 0.1658 0.9612
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 47.1 0.1873 0.9649
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 48.6 0.1884 0.9680
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 49.3 0.1980 0.9628
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 50.3 0.1952 0.9645
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.7 0.1979 0.9654
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 45.3 0.1687 0.9533
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 45.1 0.1924 0.9488
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 46.1 0.2475 0.9479
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 46.2 0.2204 0.9489
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.1 0.2598 0.9466
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 45.8 0.1893 0.9451
