virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 50.5 0.2110 0.2800
CHAV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 41.2 0.3294 0.2520
CHAV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 38.9 0.3308 0.2836
CHAV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 41.3 0.1677 0.2766
CHAV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 45.8 0.2127 0.1944
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 44.3 0.3156 0.2491
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 40.9 0.2183 0.2419
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 40.8 0.2652 0.2046
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 40.8 0.3150 0.2070
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 40.1 0.3247 0.2440
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.2 0.3297 0.2506
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 43 0.2298 0.2397
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 40.6 0.1704 0.1974
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 47.2 0.3060 0.2434
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 47.5 0.2281 0.2709
CHAV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.6 0.2194 0.2712
CHAV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 50.5 0.2102 0.2783
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 43.1 0.2164 0.2462
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 43.3 0.2178 0.2402
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 46.6 0.2213 0.2326
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 46.5 0.2004 0.2176
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 45.6 0.2116 0.2121
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 45.8 0.2121 0.1886
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 41.6 0.1924 0.2193
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 40.8 0.1884 0.2434
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 39.9 0.1496 0.3288
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 43.1 0.1854 0.3507
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 42.3 0.1527 0.2717
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 41.3 0.1676 0.2926
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 37.8 0.2422 0.2302
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 40.4 0.2947 0.2322
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.6 0.3174 0.2472
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 37.7 0.3256 0.2854
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 39.1 0.3310 0.2478
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 38.9 0.3310 0.2335
