#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.5479	0.7165	4.22	0.420	0.561	0.692	1362	1020	826
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5447	0.7093	4.68	0.559	0.747	0.907	1362	1020	840
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5279	0.6861	4.77	0.400	0.534	0.665	1362	1020	819
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.4983	0.6465	5.25	0.471	0.628	0.816	1362	1020	786
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.4209	0.5416	6.82	0.364	0.486	0.698	1362	1020	711
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.5476	0.7159	4.28	0.427	0.571	0.704	1362	1020	827
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.3321	0.4199	7.97	0.235	0.314	0.519	1362	1020	616
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.1842	0.2357	7.60	0.133	0.177	0.555	1362	1020	326
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.3873	0.4958	6.41	0.287	0.383	0.596	1362	1020	656
