virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 66.7 0.3813 0.2694
CHAV rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb 66.9 0.3559 0.2477
CHAV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 66.4 0.2610 0.2213
CHAV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 68.2 0.2558 0.2263
CHAV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 67.8 0.2536 0.2308
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 64.4 0.3634 0.2756
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 67.7 0.3723 0.2844
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 66.4 0.3705 0.2367
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 65.6 0.2623 0.2445
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 67 0.3804 0.2313
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 66.4 0.2608 0.2874
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 64.2 0.3657 0.2566
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 65.9 0.3639 0.2557
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 65.6 0.3587 0.2482
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 66.3 0.3594 0.2847
CHAV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 65.9 0.3587 0.2511
CHAV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 66.9 0.3560 0.2756
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 67.9 0.3585 0.2719
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 67.1 0.3587 0.2334
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 67.2 0.3758 0.2848
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 67.1 0.2545 0.2136
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 67.9 0.2537 0.2853
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 67.8 0.2540 0.2026
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 67.4 0.3619 0.2703
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 68.6 0.3816 0.2440
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 66.9 0.2580 0.2794
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 67.6 0.2535 0.2619
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 67.9 0.3634 0.2307
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 68.2 0.2556 0.2482
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 65.2 0.3830 0.2749
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 68.8 0.2628 0.2851
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 67.9 0.3553 0.2449
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 65.9 0.3566 0.2852
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 65.2 0.2620 0.2217
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 66.7 0.3812 0.2133
