virus pdb plddt pre_TM post_TM
HA rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 96.1 0.9856 0.3600
HA rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 96.3 0.9847 0.3605
HA rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 96.1 0.9859 0.3599
HA rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 96.1 0.9947 0.3522
HA rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 95.8 0.9860 0.3517
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 93.8 0.9887 0.3462
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 95.9 0.9854 0.3599
HA alphafold2_multimer_v3_model_1_seed_000.r2.pdb 96.1 0.9856 0.3513
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 93.2 0.9939 0.3532
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 95.9 0.9955 0.3522
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 96.1 0.9948 0.3520
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 92 0.9761 0.3517
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 96 0.9849 0.3539
HA alphafold2_multimer_v3_model_3_seed_000.r2.pdb 96.3 0.9847 0.3571
HA alphafold2_multimer_v3_model_3_seed_000.r3.pdb 96.3 0.9848 0.3572
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 93.8 0.9850 0.3563
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 95.8 0.9861 0.3560
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 92.6 0.9915 0.3531
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 95.6 0.9953 0.3520
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 95.8 0.9860 0.3545
HA alphafold2_multimer_v3_model_5_seed_000.r3.pdb 96.1 0.9858 0.3602
HA alphafold2_multimer_v3_model_5_seed_000.r4.pdb 96.1 0.9859 0.3611
